location,gen_key,index,detail,text,rec_exp,age
title,title-stsc02,stsc,시크릿 쿠폰 발송,비밀 쿠폰 제공,시크릿 쿠폰 발송,
title,title-stm01,stm,회원 등급 혜택 안내,회원 등급 혜택 안내,회원 등급 혜택 안내,
title,title-stm02,stm,회원 등급 혜택 안내,등급별 혜택 안내,회원 등급 혜택 안내,
title,title-stbr01,stbr,생일자 할인 쿠폰 제공,생일 축하 할인 쿠폰,생일자 할인 쿠폰 제공,
title,title-stbr02,stbr,생일자 할인 쿠폰 제공,생일 할인 쿠폰 제공,생일자 할인 쿠폰 제공,
title,title-stmu01,stmu,회원등급 상승 축하 메시지,등급 상승 축하 메시지,회원등급 상승 축하 메시지,
title,title-stmu02,stmu,회원등급 상승 축하 메시지,등급 업그레이드 축하,회원등급 상승 축하 메시지,
title,title-stmm01,stmm,회원등급 상승 임박 안내,등급 상승 임박 알림,회원등급 상승 임박 안내,
title,title-stmm02,stmm,회원등급 상승 임박 안내,곧 등급 상승 예정,회원등급 상승 임박 안내,
title,title-stcu01,stcu,쿠폰 소멸 임박 알림,쿠폰 소멸 임박,쿠폰 소멸 임박 알림,
title,title-stcu02,stcu,쿠폰 소멸 임박 알림,곧 만료 쿠폰 알림,쿠폰 소멸 임박 알림,
title,title-stcu03,stcu,쿠폰 소멸 임박 알림,만료 예정 쿠폰 안내,쿠폰 소멸 임박 알림,
title,title-stha01,stha,기념일 메시지 발송,기념일 축하 메시지,기념일 메시지 발송,
title,title-stha02,stha,기념일 메시지 발송,특별한 날 축하 인사,기념일 메시지 발송,
title,title-stw01,stw,웰컴백 쿠폰 전달,웰컴백 쿠폰 드려요!,웰컴백 쿠폰 전달,
title,title-stw02,stw,웰컴백 쿠폰 전달,돌아온 고객 환영 쿠폰,웰컴백 쿠폰 전달,
title,title-stw03,stw,웰컴백 쿠폰 전달,반가운 귀환 쿠폰,웰컴백 쿠폰 전달,
title,title-stre01,stre,Best 상품 후기 전달,베스트 상품 후기 모음,Best 상품 후기 전달,
title,title-stre02,stre,Best 상품 후기 전달,인기 상품 후기 전달,Best 상품 후기 전달,
title,title-stfc01,stfc,첫 구매 할인 쿠폰 제공,첫 구매 할인쿠폰 도착!,첫 구매 할인 쿠폰 제공,
title,title-stfc02,stfc,첫 구매 할인 쿠폰 제공,첫 구매 할인 쿠폰,첫 구매 할인 쿠폰 제공,
title,title-stfp01,stfp,첫 구매 감사 메시지 발송,첫 구매 감사드립니다,첫 구매 감사 메시지 발송,
title,title-stfp02,stfp,첫 구매 감사 메시지 발송,첫 구매 감사합니다!,첫 구매 감사 메시지 발송,
title,title-stfp03,stfp,첫 구매 감사 메시지 발송,첫 구매 감사 메시지,첫 구매 감사 메시지 발송,
title,title-stfp04,stfp,첫 구매 감사 메시지 발송,앞으로도 함께해요,첫 구매 감사 메시지 발송,
title,title-stbr01,stbr,선호 카테고리 Best 상품 후기 전달,베스트 상품 후기 모음!,선호 카테고리 Best 상품 후기 전달,
title,title-stbr02,stbr,선호 카테고리 Best 상품 후기 전달,인기상품 후기만 모아봤어요,선호 카테고리 Best 상품 후기 전달,
title,title-stbr03,stbr,선호 카테고리 Best 상품 후기 전달,직접 구매하신분들의 후기!,선호 카테고리 Best 상품 후기 전달,
main,main-sta01-1,sta,연령대별 Best 상품 추천,현재 {연령대} 고객님들 사이에서 가장 주목받는 트렌디한 아이템을 추천해드려요! 상품명:{age_best_items},연령대별 Best 상품 추천,2030.0
main,main-sta02-1,sta,연령대별 Best 상품 추천,지금 {연령대} 고객님들로부터 가장 사랑받는 아이템을 소개합니다. 최신 트렌드를 반영한 아이템으로 스타일과 라이프스타일을 한층 더 업그레이드하세요! 상품명:{age_best_items},연령대별 Best 상품 추천,2030.0
main,main-sta03-1,sta,연령대별 Best 상품 추천,{연령대} 고객님들에게 주목받는 인기 상품을 드려요. 지금 바로 만나보세요! 상품명:{age_best_items},연령대별 Best 상품 추천,2030.0
main,main-sta04-1,sta,연령대별 Best 상품 추천,요즘 {연령대} 고객님들 사이에서 가장 핫한 상품을 추천드려요! 최신 트렌드를 반영한 아이템으로 스타일을 업그레이드하세요. 지금 바로 확인해보세요! 상품명:{age_best_items},연령대별 Best 상품 추천,2030.0
main,main-sta05-1,sta,연령대별 Best 상품 추천,비슷한 연령대의 고객님들의 취향이 궁금하지 않으세요? 고객님 연령대의 베스트 상품을 추천해드려요! 상품명:{age_best_items},연령대별 Best 상품 추천,2030.0
main,main-sta06-1,sta,연령대별 Best 상품 추천,고객님들이 가장 많이 찾는 인기 상품을 추천해드립니다!,연령대별 Best 상품 추천,2030.0
main,main-sta07-1,sta,연령대별 Best 상품 추천,고객님들께서 가장 사랑하는 베스트셀러 상품을 소개합니다!,연령대별 Best 상품 추천,2030.0
main,main-sta08-1,sta,연령대별 Best 상품 추천,고객님들께 가장 많이 선택받은 상품을 추천합니다!,연령대별 Best 상품 추천,2030.0
main,main-sta09-1,sta,연령대별 Best 상품 추천,고객님들 사이에서 가장 인기 있는 상품을 추천해드려요!,연령대별 Best 상품 추천,2030.0
main,main-sta10-1,sta,연령대별 Best 상품 추천,고객님들께서 가장 많이 구매한 인기 상품을 확인해보세요!,연령대별 Best 상품 추천,2030.0
main,main-ste01-1,ste,성별 Best 상품 추천,{성별} 고객님들을 위한 가장 트렌디하고 인기 있는 아이템을 소개드립니다! 지금 상품을 만나보세요! 상품명:{gender_best_items},성별 Best 상품 추천,2030.0
main,main-ste02-1,ste,성별 Best 상품 추천,{성별} 고객님들을 위한 특별한 추천 상품입니다. 지금 가장 사랑받는 트렌디한 아이템을 추천해드려요. 지금 바로 만나보세요!! 상품명:{gender_best_items},성별 Best 상품 추천,2030.0
main,main-ste03-1,ste,성별 Best 상품 추천,인기 급상승! {성별} 고객님들을 위해 {gender_best_items} 상품 추천드려요!,성별 Best 상품 추천,2030.0
main,main-ste04-1,ste,성별 Best 상품 추천,같은 성별의 고객님들의 취향이 궁금하지 않으신가요? 성별 베스트 상품 지금 바로 만나보세요! 상품명:{gender_best_items},성별 Best 상품 추천,2030.0
main,main-ste05-1,ste,성별 Best 상품 추천,{성별} 고객님들께서 가장 많이 구매하신 상품을 확인해보세요! 상품명:{gender_best_items},성별 Best 상품 추천,2030.0
main,main-stf01-1,stf,첫 구매 Best 상품 추천,첫 구매 고객님들께 가장 많이 사랑받는 {first_best_items} 상품을 추천해드립니다!,첫 구매 Best 상품 추천,2030.0
main,main-stf02-1,stf,첫 구매 Best 상품 추천,처음 방문하신 고객님들을 위한 베스트셀러 {first_best_items} 상품을 소개합니다!,첫 구매 Best 상품 추천,2030.0
main,main-stf03-1,stf,첫 구매 Best 상품 추천,우리 쇼핑몰에서 첫 구매하시는 분들이 가장 많이 선택한 {first_best_items} 상품을 만나보세요!,첫 구매 Best 상품 추천,2030.0
main,main-stf04-1,stf,첫 구매 Best 상품 추천,새로운 고객들에게 가장 많은 사랑을 받는 아이템이 궁금하지 않으세요? 첫 구매 베스트 아이템을 지금 바로 만나보세요! 상품명:{first_best_items},첫 구매 Best 상품 추천,2030.0
main,main-stf05-1,stf,첫 구매 Best 상품 추천,신규 고객님들이 가장 많이 구매한 {first_best_items} 상품을 확인해보세요!,첫 구매 Best 상품 추천,2030.0
main,main-stf06-1,stf,첫 구매 Best 상품 추천,구매를 고민하는 고객님을 위해 첫 구매 고객님들에게 가장 많은 사랑을 받는 상품을 추천해드려요! 상품명:{first_best_items},첫 구매 Best 상품 추천,2030.0
main,main-stf07-1,stf,첫 구매 Best 상품 추천,첫 구매의 대명사인 {first_best_items} 상품을 추천드려요!,첫 구매 Best 상품 추천,2030.0
main,main-stst01-1,stst,스테디셀러 상품 추천,꾸준히 사랑받는 스테디셀러 {steady_items} 상품을 추천드립니다!,스테디셀러 상품 추천,2030.0
main,main-stst02-1,stst,스테디셀러 상품 추천,구매를 고민하는 고객님을 위해 가장 꾸준히 사랑받고 있는 {steady_items} 상품을 추천해드려요!,스테디셀러 상품 추천,2030.0
main,main-stst03-1,stst,스테디셀러 상품 추천,고객님을 위한 가장 트렌디하고 인기 있는 아이템을 소개드립니다! 지금 상품을 만나보세요! 상품명:{steady_items},스테디셀러 상품 추천,2030.0
main,main-stst04-1,stst,스테디셀러 상품 추천,스테디셀러 상품 선정! {steady_items} 상품을 추천해드려요!,스테디셀러 상품 추천,2030.0
main,main-stst05-1,stst,스테디셀러 상품 추천,가장 꾸준하게 사랑받고 있는 아이템 궁금하지 않으세요? 스테디셀러 바로 만나보세요! 상품명:{steady_items},스테디셀러 상품 추천,2030.0
main,main-stcr01-1,stcr,Next구매 확률 높은 상품 추천,이전에 구매하신 상품과 함께 구매하면 더 좋은 {best_cross_items} 상품을 추천드려요!,Next구매 확률 높은 상품 추천,2030.0
main,main-stcr02-1,stcr,Next구매 확률 높은 상품 추천,구매하신 상품과 찰떡궁합! {best_cross_items} 상품을 만나보세요!,Next구매 확률 높은 상품 추천,2030.0
main,main-stcr03-1,stcr,Next구매 확률 높은 상품 추천,이전에 구매하셨던 상품을 구매한 고객님들이 함께 구매하는 인기 {best_cross_items} 상품을 소개합니다!,Next구매 확률 높은 상품 추천,2030.0
main,main-stcr04-1,stcr,Next구매 확률 높은 상품 추천,이전에 구매하신 상품과 어울리는 추천 상품을 지금 확인해보세요! 상품명: {best_cross_items},Next구매 확률 높은 상품 추천,2030.0
main,main-stcr05-1,stcr,Next구매 확률 높은 상품 추천,더 나은 쇼핑 경험을 위한 {best_cross_items} 상품을 추천드립니다!,Next구매 확률 높은 상품 추천,2030.0
main,main-stcr06-1,stcr,Next구매 확률 높은 상품 추천,이전에 구매하신 상품과 함께 구매하면 완벽한 {best_cross_items} 상품을 추천해드립니다!,Next구매 확률 높은 상품 추천,2030.0
main,main-stcr07-1,stcr,Next구매 확률 높은 상품 추천,이전 구매 상품과 완벽하게 어울리는 {best_cross_items} 아이템을 만나보세요!,Next구매 확률 높은 상품 추천,2030.0
main,main-stcr08-1,stcr,Next구매 확률 높은 상품 추천,고객님들이 함께 많이 사는 {best_cross_items} 상품을 소개해드립니다!,Next구매 확률 높은 상품 추천,2030.0
main,main-stcr09-1,stcr,Next구매 확률 높은 상품 추천,구하신 상품과 최고의 조합! {best_cross_items} 상품을 추천합니다!,Next구매 확률 높은 상품 추천,2030.0
main,main-stn01-1,stn,신상품 추천,고객님을 위한 신상 추천! 가장 핫한 트렌드를 담은 새로운 상품을 지금 확인해보세요. 최신 패션과 라이프스타일을 경험해보세요! 상품명:{first_best_items},신상품 추천,2030.0
main,main-stn02-1,stn,신상품 추천,새롭게 출시된 신상품을 소개드려요! 상품명:{first_best_items},신상품 추천,2030.0
main,main-stn03-1,stn,신상품 추천,따끈따끈한 신상품을 확인해보세요! 상품명:{first_best_items},신상품 추천,2030.0
main,main-stn04-1,stn,신상품 추천,새로운 시즌을 맞아 준비한 신상품 출시! 지금 바로 확인해보세요! 상품명:{first_best_items},신상품 추천,2030.0
main,main-stn05-1,stn,신상품 추천,고객님 혹시 신상품이 궁금하지 않으신가요? 새롭게 출시된 상품을 소개드려요! 상품명:{first_best_items},신상품 추천,2030.0
main,main-stca01-1,stca,장바구니 상품 추천,"고객님이 장바구니에 담아놓은 {item_name}, 지금 바로 구매해보세요!",장바구니 상품 추천,2030.0
main,main-stca02-1,stca,장바구니 상품 추천,"장바구니에 담아둔 {item_name}, 놓치지 마세요!",장바구니 상품 추천,2030.0
main,main-stca03-1,stca,장바구니 상품 추천,"고객님께서 담아놓으신 {item_name}, 지금 아니면 구매하기 어려울 수 있어요!",장바구니 상품 추천,2030.0
main,main-stca04-1,stca,장바구니 상품 추천,"고객님이 선택한 {item_name}, 까먹으신 거 아니죠?! 지금 바로 결제하세요!",장바구니 상품 추천,2030.0
main,main-stca05-1,stca,장바구니 상품 추천,고객님의 장바구니에 담긴 {item_name} 잊지마세요~!!,장바구니 상품 추천,2030.0
main,main-stwi01-1,stwi,위시리스트 상품 추천,"고객님이 위시리스트에 찜해놓은 {item_name}, 지금 바로 구매해보세요!",위시리스트 상품 추천,2030.0
main,main-stwi02-1,stwi,위시리스트 상품 추천,"위시리스트에 찜해둔 {item_name}, 놓치지 마세요!",위시리스트 상품 추천,2030.0
main,main-stwi03-1,stwi,위시리스트 상품 추천,"고객님께서 찜해놓은 {item_name}, 지금 아니면 구매하기 어려울 수 있어요!",위시리스트 상품 추천,2030.0
main,main-stwi04-1,stwi,위시리스트 상품 추천,"고객님이 찜해놓은 {item_name} 상품, 잊지말아요~!",위시리스트 상품 추천,2030.0
main,main-stwi05-1,stwi,위시리스트 상품 추천,품절 임박! 고객님께서 위시리스트에 찜해놓은 {item_name} 상품 놓치지 마세요!,위시리스트 상품 추천,2030.0
main,main-stwi06-1,stwi,위시리스트 상품 추천,"고객님이 선택한 {item_name}, 까먹으신 거 아니죠?! 지금 바로 확인하세요~!",위시리스트 상품 추천,2030.0
main,main-stwb01-1,stwb,선호 카테고리 Best 상품 추천,"고객님의 취향을 고려한 상품 궁금하지 않으세요? 선호 카테고리 기반으로한 {best_category_items} 상품 추천드려요!",선호 카테고리 Best 상품 추천,2030.0
main,main-stwb02-1,stwb,선호 카테고리 Best 상품 추천,"고객님의 관심 카테고리에서 추천드리는 {best_category_items} 상품, 지금 바로 만나보세요!",선호 카테고리 Best 상품 추천,2030.0
main,main-stwb03-1,stwb,선호 카테고리 Best 상품 추천,"고객님의 취향저격! {best_category_items} 상품 바로 확인해보세요!",선호 카테고리 Best 상품 추천,2030.0
main,main-stwb04-1,stwb,선호 카테고리 Best 상품 추천,"선호 카테고리의 {best_category_items}, 지금이 구매할 완벽한 타이밍입니다!",선호 카테고리 Best 상품 추천,2030.0
main,main-stwb05-1,stwb,선호 카테고리 Best 상품 추천,"고객님의 관심 카테고리에서 추천드리는 {best_category_items} 상품, 지금 바로 만나보세요!",선호 카테고리 Best 상품 추천,2030.0
main,main-stsb01-1,stsb,최대 할인 상품 추천,"최대 할인 혜택! 지금 가장 큰 할인율을 자랑하는 {best_promo_items} 상품을 추천드려요!",최대 할인 상품 추천,2030.0
main,main-stsb02-1,stsb,최대 할인 상품 추천,"오늘도 알찬 하루 보내고 계신가요? {best_promo_items} 상품 원데이 특가! 놓치지 마세요!",최대 할인 상품 추천,2030.0
main,main-stsb03-1,stsb,최대 할인 상품 추천,"단 3일! 구매를 고민하는 고객님을 위해 {best_promo_items} 상품 주말 특가를 소개해드려요",최대 할인 상품 추천,2030.0
main,main-stsb04-1,stsb,최대 할인 상품 추천,"지금이 찬스! 최대 할인된 {best_promo_items} 상품 , 바로 구매하세요!",최대 할인 상품 추천,2030.0
main,main-stsb05-1,stsb,최대 할인 상품 추천,"최대 할인 상품 추천! 고객님을 위한 스페셜 할인 혜택! 최대 할인 상품인 {best_promo_items} 상품 지금 확인해보세요!",최대 할인 상품 추천,2030.0
main,main-stap01-1,stap,회원가입 감사 메시지 발송,"{고객명} 고객님, 회원가입 감사드립니다! 앞으로 많은 관심과 사랑 부탁드립니다!",회원가입 감사 메시지 발송,2030.0
main,main-stap02-1,stap,회원가입 감사 메시지 발송,"{고객명} 고객님, 회원가입 축하드립니다! 앞으로 고객님께 특별한 혜택과 할인 정보를 제공해드리겠습니다. 첫 구매 시 추가 할인 혜택도 놓치지 마세요! 즐거운 쇼핑 되세요!!",회원가입 감사 메시지 발송,2030.0
main,main-stap03-1,stap,회원가입 감사 메시지 발송,"안녕하세요 {고객명}님, 회원가입 해주셔서 감사드립니다. 이용에 불편함이 없도록 항상 최선을 다하겠습니다. 감사합니다.",회원가입 감사 메시지 발송,2030.0
main,main-stap04-1,stap,회원가입 감사 메시지 발송,"안녕하세요 {고객명} 고객님, 회원가입을 환영합니다! 앞으로 다양한 혜택과 이벤트로 고객님께 더 큰 만족을 드리겠습니다. 즐거운 쇼핑 되세요!",회원가입 감사 메시지 발송,2030.0
main,main-stap05-1,stap,회원가입 감사 메시지 발송,{고객명} 고객님 회원가입 감사드립니다! 앞으로 많은 관심과 사랑 부탁드립니다!,회원가입 감사 메시지 발송,2030.0
main,main-stwr01-1,stwr,위시리스트 리마인드,고객님의 위시리스트에 담긴 상품들을 확인해보세요. 지금 바로 구매하실 수 있습니다.,위시리스트 리마인드,2030.0
main,main-stwr02-1,stwr,위시리스트 리마인드,위시리스트에 담긴 상품들이 기다리고 있습니다! 지금이 구매할 절호의 기회입니다.,위시리스트 리마인드,2030.0
main,main-stwr03-1,stwr,위시리스트 리마인드,"고객님! 고객님이 찜해놓은 상품이 기다리고 있어요! 지금 바로 확인해보세요!",위시리스트 리마인드,2030.0
main,main-stwr04-1,stwr,위시리스트 리마인드,"고객님이 찜해놓은 상품이 할인중이에요! 놓치지 마세요~!",위시리스트 리마인드,2030.0
main,main-stwr05-1,stwr,위시리스트 리마인드,"안녕하세요! 고객님의 위시리시트, 잊지 않으셨죠? 지금 바로 확인하고 쇼핑을 즐겨보세요~!",위시리스트 리마인드,2030.0
main,main-stcrr01-1,stcrr,장바구니 리마인드,고객님의 장바구니에 담긴 상품들이 기다리고 있습니다. 지금 바로 구매하실 수 있습니다.,장바구니 리마인드,2030.0
main,main-stcrr02-1,stcrr,장바구니 리마인드,장바구니에 담긴 상품들을 놓치지 마세요! 지금이 구매할 절호의 기회입니다.,장바구니 리마인드,2030.0
main,main-stcrr03-1,stcrr,장바구니 리마인드,고객님! 고객님이 담아놓은 상품이 기다리고 있어요! 지금 바로 확인해보세요!,장바구니 리마인드,2030.0
main,main-stcrr04-1,stcrr,장바구니 리마인드,고객님의 장바구니 상품이 할인중이에요! 놓치지 마세요~!,장바구니 리마인드,2030.0
main,main-stcrr05-1,stcrr,장바구니 리마인드,장바구니 상품 품절 임박! 지금 바로 확인해보세요!,장바구니 리마인드,2030.0
main,main-stsc01-1,stsc,시크릿 쿠폰 발송,고객님을 위한 시크릿 쿠폰이 도착했습니다! 지금 바로 확인하고 특별 혜택을 누려보세요!,시크릿 쿠폰 발송,2030.0
main,main-stsc02-1,stsc,시크릿 쿠폰 발송,띵동! 시크릿 쿠폰이 도착했어요. 지금 바로 혜택을 즐겨보세요!,시크릿 쿠폰 발송,2030.0
main,main-stsc03-1,stsc,시크릿 쿠폰 발송,깜짝 선물! 고객님께 시크릿 쿠폰을 드립니다. 지금 바로 확인하고 쇼핑을 즐겨보세요!,시크릿 쿠폰 발송,2030.0
main,main-stsc04-1,stsc,시크릿 쿠폰 발송,{고객명} 님을 위한 쿠폰이 발급되었어요! 만료일이 지나면 쿠폰이 자동으로 소멸될 예정이에요…!! 지금 바로 확인하러 가볼까요~?,시크릿 쿠폰 발송,2030.0
main,main-stsc05-1,stsc,시크릿 쿠폰 발송,시크릿 쿠폰을 발급해드렸습니다! 한정된 시간 동안만 사용 가능하니 서둘러 확인해보세요!!,시크릿 쿠폰 발송,2030.0
main,main-stm01-1,stm,회원 등급 혜택 안내,"{고객명}님 안녕하세요. 고객님의 멤버십 등급은 {등급}입니다. 혜택이 기다리고 있으니, 지금 확인해보세요.",회원 등급 혜택 안내,2030.0
main,main-stm02-1,stm,회원 등급 혜택 안내,"안녕하세요 {고객명} 고객님. 고객님의 등급 혜택이 도착했습니다. 이번 달 멤버쉽 혜택을 통해, 더욱 럭셔리한 쇼핑을 경험해보세요. 이용해주셔서 감사드립니다.",회원 등급 혜택 안내,2030.0
main,main-stm03-1,stm,회원 등급 혜택 안내,"안녕하세요, {회사명} 입니다. {고객명} 고객님, 이번 달 나의 등급은 {등급}입니다. {등급}의 스페셜 혜택을 지금 바로 만나보세요.",회원 등급 혜택 안내,2030.0
main,main-stbr01-1,stbr,생일자 할인 쿠폰 제공,"안녕하세요 {고객명} 고객님. 고객님의 생일을 맞아 특별한 혜택을 준비했습니다! 스페셜 쿠폰을 지금 바로 만나보세요!",생일자 할인 쿠폰 제공,2030.0
main,main-stbr02-1,stbr,생일자 할인 쿠폰 제공,"안녕하세요, {고객명} 고객님. 이번 달 생일을 기념하여 특별한 선물을 준비했어요! 스페셜 쿠폰을 지금 바로 확인해보세요!",생일자 할인 쿠폰 제공,2030.0
main,main-stbr03-1,stbr,생일자 할인 쿠폰 제공,"안녕하세요, {고객명} 고객님. 다가오는 생일을 맞아 특별한 혜택을 준비했습니다! 생일을 더욱 특별하게 만들어줄 스페셜 쿠폰을 지금 바로 만나보세요!",생일자 할인 쿠폰 제공,2030.0
main,main-stbr04-1,stbr,생일자 할인 쿠폰 제공,고객님의 특별한 생일을 위해 생일 할인 쿠폰을 발급해드렸습니다. 행복한 생일 되세요!,생일자 할인 쿠폰 제공,2030.0
main,main-stbr05-1,stbr,생일자 할인 쿠폰 제공,생일을 맞이한 고객님께 감사의 마음을 담아 할인 쿠폰을 드립니다. 특별한 혜택을 누리세요.,생일자 할인 쿠폰 제공,2030.0
main,main-stmu01-1,stmu,회원등급 상승 축하 메시지,축하드립니다! 고객님의 회원 등급이 상승되었습니다. 새로운 혜택과 함께 더 많은 즐거움을 누리세요.,회원등급 상승 축하 메시지,2030.0
main,main-stmu02-1,stmu,회원등급 상승 축하 메시지,"고객님의 성원에 감사드립니다! 회원 등급 상승을 축하드리며, 특별한 혜택을 지금부터 경험해보세요.",회원등급 상승 축하 메시지,2030.0
main,main-stmu03-1,stmu,회원등급 상승 축하 메시지,회원 등급이 한 단계 올라갔습니다! 더 많은 혜택과 할인 혜택을 누리실 수 있습니다.,회원등급 상승 축하 메시지,2030.0
main,main-stmu04-1,stmu,회원등급 상승 축하 메시지,축하드립니다! 고객님의 회원 등급이 상승하였습니다. 앞으로도 많은 혜택을 기대해 주세요.,회원등급 상승 축하 메시지,2030.0
main,main-stmu05-1,stmu,회원등급 상승 축하 메시지,고객님의 회원 등급이 높아졌습니다! 특별한 혜택과 서비스를 즐길 준비가 되셨나요? 지금 바로 확인해보세요.,회원등급 상승 축하 메시지,2030.0
main,main-stmm01-1,stmm,회원등급 상승 임박 안내,"안녕하세요, {고객명} 고객님. {등급}으로의 상승이 임박했습니다! 조금만 더 쇼핑하시면 새로운 등급의 특별한 혜택을 누리실 수 있습니다.",회원등급 상승 임박 안내,2030.0
main,main-stmm02-1,stmm,회원등급 상승 임박 안내,"{고객명} 고객님, 곧 {등급}으로 상승합니다! 다음 등급에서는 더욱 폭 넓은 혜택들을 누리실 수 있습니다. 지금 바로 쇼핑을 즐기고 특별한 혜택을 누리세요!",회원등급 상승 임박 안내,2030.0
main,main-stmm03-1,stmm,회원등급 상승 임박 안내,"안녕하세요, {고객명} 고객님. 회원님의 등급 상승이 코앞에 있습니다! 곧 있으면 새로운 등급의 특별한 혜택들을 누리실 수 있습니다. 감사합니다.",회원등급 상승 임박 안내,2030.0
main,main-stmm04-1,stmm,회원등급 상승 임박 안내,"회원님, 거의 다 왔습니다! 회원 등급 상승까지 얼마 남지 않았습니다!",회원등급 상승 임박 안내,2030.0
main,main-stmm05-1,stmm,회원등급 상승 임박 안내,회원 등급 상승이 눈앞에 있습니다! 조금만 더 이용하시면 더 많은 혜택을 받으실 수 있습니다!,회원등급 상승 임박 안내,2030.0
main,main-stcu01-1,stcu,쿠폰 소멸 임박 알림,쿠폰 소멸이 임박했습니다! 사용하지 않으면 혜택을 잃게 됩니다. 지금 바로 사용하세요.,쿠폰 소멸 임박 알림,2030.0
main,main-stcu02-1,stcu,쿠폰 소멸 임박 알림,"안녕하세요, {회사명}입니다. 고객님이 보유하신 쿠폰이 곧 만료됩니다.",쿠폰 소멸 임박 알림,2030.0
main,main-stcu03-1,stcu,쿠폰 소멸 임박 알림,"안녕하세요, {회사명}입니다. {고객명} 고객님이 보유하신 쿠폰 만료일이 다가오고 있습니다.",쿠폰 소멸 임박 알림,2030.0
